add-yield-none,8,20,320,3534183,11044,37
add-yield-none,12,20,480,3630504,7563,109
add-yield-none,2,40,160,3359200,20995,1
add-yield-none,4,40,320,3402041,10631,70
add-yield-none,8,40,640,3537824,5527,81
add-yield-none,12,40,960,3678352,3831,198
add-yield-none,2,80,320,3442678,10758,32
add-yield-none,4,80,640,3445308,5383,50
add-yield-none,8,80,1280,3612082,2821,6
add-yield-none,12,80,1920,3823400,1991,42
add-yield-none,2,100,400,3451575,8628,19
add-yield-none,4,100,800,3508778,4385,49
add-yield-none,8,100,1600,3644339,2277,118
add-yield-none,12,100,2400,3789724,1579,105
add-yield-none,2,1000,4000,5203809,1300,0
add-yield-none,4,1000,8000,5205205,650,53
add-yield-none,8,1000,16000,5773757,360,119
add-yield-none,12,1000,24000,6375453,265,182
add-yield-none,2,10000,40000,22087951,552,8
add-yield-none,4,10000,80000,22190784,277,36
add-yield-none,8,10000,160000,27226642,170,127
add-yield-none,12,10000,240000,32913260,137,1292
add-yield-none,2,100000,400000,191589314,478,-54
add-yield-none,4,100000,800000,199868979,249,-11472
add-yield-none,8,100000,1600000,-786862842,-491,-13309
add-yield-none,12,100000,2400000,272630742,113,-50016
add-none,1,100,200,3273695,16368,0
add-none,1,1000,2000,3257133,1628,0
add-none,1,10000,20000,3436460,171,0
add-none,1,100000,200000,4863469,24,0
add-none,1,1000000,2000000,19026343,9,0
add-none,2,100,400,3283426,8208,0
add-none,2,1000,4000,3285766,821,9
add-none,2,10000,40000,3678732,91,-3736
add-none,2,100000,400000,10500397,26,-32124
add-none,2,1000000,4000000,78901077,19,-273549
add-none,4,100,800,3326511,4158,0
add-none,4,1000,8000,3340096,417,0
add-none,4,10000,80000,4717833,58,-348
add-none,4,100000,800000,18387159,22,-19596
add-none,4,1000000,8000000,152690142,19,-313511
add-yield-none,1,100,200,3443264,17216,0
add-yield-none,1,1000,2000,4983466,2491,0
add-yield-none,1,10000,20000,19536477,976,0
add-yield-none,1,100000,200000,164796902,823,0
add-yield-none,1,1000000,2000000,-345573951,-172,0
add-yield-none,2,100,400,3439017,8597,20
add-yield-none,2,1000,4000,5176881,1294,0
add-yield-none,2,10000,40000,22097425,552,1
add-yield-none,2,100000,400000,190290093,475,1922
add-yield-none,2,1000000,4000000,209805313,52,-189485
add-yield-none,4,100,800,3535746,4419,56
add-yield-none,4,1000,8000,5186866,648,41
add-yield-none,4,10000,80000,21789019,272,82
add-yield-none,4,100000,800000,-807892810,-1009,-153
add-yield-none,4,1000000,8000000,898768465,112,-33460
add-yield-m,2,10000,40000,-943377954,-23584,0
add-yield-m,4,10000,80000,136575285,1707,0
add-yield-m,8,10000,160000,305395683,1908,0
add-yield-m,12,10000,240000,451986386,1883,0
add-yield-c,2,10000,40000,5005222,125,0
add-yield-c,4,10000,80000,8811299,110,0
add-yield-c,8,10000,160000,15556664,97,0
add-yield-c,12,10000,240000,23009472,95,0
add-yield-s,2,10000,40000,-961207069,-24030,0
add-yield-s,4,10000,80000,125270187,1565,0
add-yield-s,8,1000,16000,34982634,2186,0
add-yield-s,12,1000,24000,60335561,2513,0
add-m,1,10000,20000,3961139,198,0
add-m,2,10000,40000,7041558,176,0
add-m,4,10000,80000,17549367,219,0
add-m,8,10000,160000,36219911,226,0
add-m,12,10000,240000,52801012,220,0
add-c,1,10000,20000,3649730,182,0
add-c,2,10000,40000,5140214,128,0
add-c,4,10000,80000,8857336,110,0
add-c,8,10000,160000,16658990,104,0
add-c,12,10000,240000,23104221,96,0
add-s,1,10000,20000,3530588,176,0
add-s,2,10000,40000,20767743,519,0
add-s,4,10000,80000,63338438,791,0
add-s,8,10000,160000,182732110,1142,0
add-s,12,10000,240000,296235250,1234,0
add-none,2,100,400,3288593,8221,0
add-none,2,1000,4000,3345528,836,0
add-none,2,10000,40000,4046923,101,-882
add-none,2,100000,400000,10872320,27,-26303
add-none,4,100,800,3345961,4182,0
add-none,4,1000,8000,3362019,420,0
add-none,4,10000,80000,4693367,58,-1228
add-none,4,100000,800000,18489331,23,-16200
add-none,8,100,1600,3483786,2177,98
add-none,8,1000,16000,3512638,219,0
add-none,8,10000,160000,6427065,40,3889
add-none,8,100000,1600000,33725179,21,-49612
add-none,12,100,2400,3652387,1521,0
add-none,12,1000,24000,3623293,150,-690
add-none,12,10000,240000,8235471,34,-6249
add-none,12,100000,2400000,-950620179,-396,-45140
add-yield-none,2,10,40,3312854,82821,0
add-yield-none,4,10,80,3342339,41779,10
add-yield-none,8,10,160,3496810,21855,0
add-yield-none,12,10,240,3609566,15039,23
add-yield-none,2,20,80,3322719,41533,0
add-yield-none,4,20,160,3386901,21168,28
add-yield-none,8,20,320,3504637,10951,36
add-yield-none,12,20,480,3644646,7593,96
add-yield-none,2,40,160,3389336,21183,3
add-yield-none,4,40,320,3398293,10619,10
add-yield-none,8,40,640,3490391,5453,73
add-yield-none,12,40,960,3590786,3740,153
add-yield-none,2,80,320,3426990,10709,18
add-yield-none,4,80,640,3492512,5457,61
add-yield-none,8,80,1280,3606471,2817,148
add-yield-none,12,80,1920,3668128,1910,113
add-yield-none,2,100,400,3474843,8687,42
add-yield-none,4,100,800,3530652,4413,81
add-yield-none,8,100,1600,3592190,2245,106
add-yield-none,12,100,2400,3717804,1549,68
add-yield-none,2,1000,4000,5141892,1285,29
add-yield-none,4,1000,8000,5228631,653,63
add-yield-none,8,1000,16000,5797716,362,-304
add-yield-none,12,1000,24000,5882981,245,207
add-yield-none,2,10000,40000,21334445,533,13
add-yield-none,4,10000,80000,22690901,283,70
add-yield-none,8,10000,160000,25115366,156,-1183
add-yield-none,12,10000,240000,28607280,119,-791
add-yield-none,2,100000,400000,198251158,495,-105
add-yield-none,4,100000,800000,193985241,242,-6194
add-yield-none,8,100000,1600000,209399803,130,-6275
add-yield-none,12,100000,2400000,-742530950,-309,-10269
add-none,1,100,200,3310355,16551,0
add-none,1,1000,2000,3292822,1646,0
add-none,1,10000,20000,3427099,171,0
add-none,1,100000,200000,4929529,24,0
add-none,1,1000000,2000000,19579032,9,0
add-none,2,100,400,3305705,8264,0
add-none,2,1000,4000,3324540,831,0
add-none,2,10000,40000,4087813,102,-1637
add-none,2,100000,400000,6830862,17,-6111
add-none,2,1000000,4000000,66807334,16,-65041
add-none,4,100,800,3388197,4235,43
add-none,4,1000,8000,3449246,431,0
add-none,4,10000,80000,4734254,59,-2345
add-none,4,100000,800000,19484243,24,-32327
add-none,4,1000000,8000000,133237578,16,-199469
add-yield-none,1,100,200,3452044,17260,0
add-yield-none,1,1000,2000,5096979,2548,0
add-yield-none,1,10000,20000,19964703,998,0
add-yield-none,1,100000,200000,175991729,879,0
add-yield-none,1,1000000,2000000,-206453996,-103,0
add-yield-none,2,100,400,3498221,8745,21
add-yield-none,2,1000,4000,5298452,1324,0
add-yield-none,2,10000,40000,22051551,551,199
add-yield-none,2,100000,400000,195160307,487,-1645
add-yield-none,2,1000000,4000000,-93691106,-23,-9040
add-yield-none,4,100,800,3574238,4467,71
add-yield-none,4,1000,8000,5282802,660,91
add-yield-none,4,10000,80000,22958875,286,-146
add-yield-none,4,100000,800000,199746389,249,-5287
add-yield-none,4,1000000,8000000,-67937490,-8,-25250
add-yield-m,2,10000,40000,66205621,1655,0
add-yield-m,4,10000,80000,131941257,1649,0
add-yield-m,8,10000,160000,-723394331,-4521,0
add-yield-m,12,10000,240000,405101456,1687,0
add-yield-c,2,10000,40000,5084477,127,0
add-yield-c,4,10000,80000,10961373,137,0
add-yield-c,8,10000,160000,16609896,103,0
add-yield-c,12,10000,240000,22257010,92,0
add-yield-s,2,10000,40000,38270632,956,0
add-yield-s,4,10000,80000,113565515,1419,0
add-yield-s,8,1000,16000,25998865,1624,0
add-yield-s,12,1000,24000,58504558,2437,0
add-m,1,10000,20000,3876655,193,0
add-m,2,10000,40000,6889569,172,0
add-m,4,10000,80000,14611074,182,0
add-m,8,10000,160000,32386194,202,0
add-m,12,10000,240000,53786854,224,0
add-c,1,10000,20000,3639578,181,0
add-c,2,10000,40000,6478869,161,0
add-c,4,10000,80000,9442610,118,0
add-c,8,10000,160000,17202659,107,0
add-c,12,10000,240000,29182148,121,0
add-s,1,10000,20000,3539759,176,0
add-s,2,10000,40000,6558355,163,0
add-s,4,10000,80000,34673323,433,0
add-s,8,10000,160000,-823746469,-5148,0
add-s,12,10000,240000,343591357,1431,0
add-none,2,100,400,3134179,7835,0
add-none,2,1000,4000,3134179,783,-466
add-none,2,10000,40000,3134179,78,3424
add-none,2,100000,400000,3134179,7,-6116
add-none,4,100,800,3134179,3917,95
add-none,4,1000,8000,3134179,391,947
add-none,4,10000,80000,3134179,39,-771
add-none,4,100000,800000,3134179,3,-31069
add-none,8,100,1600,3134179,1958,0
add-none,8,1000,16000,3134179,195,-16
add-none,8,10000,160000,3134179,19,2017
add-none,8,100000,1600000,3134179,1,-34824
add-none,12,100,2400,3134179,1305,0
add-none,12,1000,24000,3134179,130,901
add-none,12,10000,240000,3134179,13,1127
add-none,12,100000,2400000,3134179,1,-15402
add-yield-none,2,10,40,3134179,78354,9
add-yield-none,4,10,80,3134179,39177,19
add-yield-none,8,10,160,3134179,19588,21
add-yield-none,12,10,240,3134179,13059,14
add-yield-none,2,20,80,3134179,39177,9
add-yield-none,4,20,160,3134179,19588,29
add-yield-none,8,20,320,3134179,9794,62
add-yield-none,12,20,480,3134179,6529,102
add-yield-none,2,40,160,3134179,19588,37
add-yield-none,4,40,320,3134179,9794,46
add-yield-none,8,40,640,3134179,4897,89
add-yield-none,12,40,960,3134179,3264,125
add-yield-none,2,80,320,3134179,9794,6
add-yield-none,4,80,640,3134179,4897,16
add-yield-none,8,80,1280,3134179,2448,128
add-yield-none,12,80,1920,3134179,1632,106
add-yield-none,2,100,400,3134179,7835,6
add-yield-none,4,100,800,3134179,3917,47
add-yield-none,8,100,1600,3134179,1958,135
add-yield-none,12,100,2400,3134179,1305,97
add-yield-none,2,1000,4000,3134179,783,-12
add-yield-none,4,1000,8000,3134179,391,0
add-yield-none,8,1000,16000,3134179,195,95
add-yield-none,12,1000,24000,3134179,130,147
add-yield-none,2,10000,40000,3134179,78,44
add-yield-none,4,10000,80000,3134179,39,217
add-yield-none,8,10000,160000,3134179,19,-9
add-yield-none,12,10000,240000,3134179,13,17
add-yield-none,2,100000,400000,3134179,7,103
add-yield-none,4,100000,800000,3134179,3,-12850
add-yield-none,8,100000,1600000,3134179,1,0
add-yield-none,12,100000,2400000,3134180,1,-5545
add-none,1,100,200,3134180,15670,0
add-none,1,1000,2000,3134180,1567,0
add-none,1,10000,20000,3134180,156,0
add-none,1,100000,200000,3134180,15,0
add-none,1,1000000,2000000,3134180,1,0
add-none,2,100,400,3134180,7835,0
add-none,2,1000,4000,3134180,783,0
add-none,2,10000,40000,3134180,78,3009
add-none,2,100000,400000,3134180,7,-5001
add-none,2,1000000,4000000,3134180,0,-65326
